Cocktail,Ingredients,Preparation,Bar/Company,Location
'57 Chevy with a White License Plate,"Creme De Cacao White, Vodka",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,,
155 Belmont,"Light Rum, Orange Juice, Vodka, Dark Rum",Blend with ice. Serve in a wine glass. Garnish with carrot.,,
9 1/2 Weeks,"Orange Curacao, Strawberry Liqueur, Orange Juice, Absolut Citron",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,,
A Gilligan's Island,"Peach Schnapps, Cranberry Juice, Orange Juice, Vodka","Shaken, not stirred!",,
A True Amaretto Sour,"Lemon, Maraschino Cherry, Amaretto","Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",,
A.D.M. (After Dinner Mint),"Hot Chocolate, Southern Comfort, Vodka, White Creme De Menthe",shake vigorously,,
A1,"Grenadine, Gin, Lemon Juice, Grand Marnier","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",,
Abbey Martini,"Sweet Vermouth, Orange Juice, Angostura Bitters, Gin","Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",,
Absolut Summertime,"Absolut Citron, Sprite, Lemon, Sweet And Sour, Soda Water",Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,,
Absolutely Fabulous,"Champagne, Cranberry Juice, Vodka",Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,,
Absolutly Screwed Up,"Ginger Ale, Triple Sec, Absolut Citron, Orange Juice","Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",,
Ace,"Milk, Grenadine, Egg White, Gin, Heavy Cream",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,,
Adam & Eve,"Fresh Lemon Juice, Creme De Cassis, Cognac, Gin",Shake together all the ingredients and strain into a cold glass.,,
Addington,"Dry Vermouth, Soda Water, Sweet Vermouth",Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,,
Addison,"Vermouth, Gin",Shake together all the ingredients and strain into a cold glass.,,
Addison Special,"Grenadine, Orange Juice, Vodka",Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,,
Adios Amigos Cocktail,"Rum, Cognac, Fresh Lime Juice, Dry Vermouth, Sugar Syrup, Water, Gin",Shake together all the ingredients and strain into a cold glass.,,
Applejack,"Jack Daniels, Sour Mix, Midori Melon Liqueur","Add all ingredients into mixing glass, chill and strain into cocktail glass",,
Arizona Stingers,"Iced Tea Lemon, Absolut Vodka",Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!,,
Arizona Twister,"Pineapple, Orange Juice, Cream Of Coconut, Grenadine, Malibu Rum, Pineapple Juice, Vodka, Gold Tequila","Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge.",,
Army special,"Vodka, Lime Juice Cordial, Gin","Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",,
